circle,division,subdivision,section,area,totservices,billdservices,units,load,Year,Month,Date
HYDERABAD CENTRAL,AZAMABAD,BARKATPURA,SHANKARMUTT,GRC HV SHANKARMUTT,1,1.0,57.0,15.0,2021,8,2021-08-01
HYDERABAD SOUTH,BEGUM BAZAR,BEGUM BAZAR,CHUDI BAZAR,GRCHV CHUDIBAZAR,1,1.0,92.0,22.0,2021,8,2021-08-01
MEDCHAL,MEDCHAL,QUTBULLAPUR,KOMPALLY,KOMPALLY HV,1,1.0,615.0,22.0,2021,8,2021-08-01
MEDCHAL,KUKATPALLY,MIYAPUR,BACHUPALLY,CT&HV,1,1.0,51.0,22.0,2021,8,2021-08-01
MEDCHAL,KUKATPALLY,MIYAPUR,HYDERNAGAR,HYDERNAGAR CT METERS,2,2.0,98.0,33.0,2021,8,2021-08-01
MEDCHAL,MEDCHAL,SHAMEERPET,SHAMEERPET,THUMUKUNTA,1,1.0,21.0,30.0,2021,8,2021-08-01
RAJENDRA NAGAR,KANDUKUR,MAMIDIPALLY,PAHADISHARIFF,SHAHEEN NAGAR II,1,1.0,0.0,15.0,2021,8,2021-08-01
RAJENDRA NAGAR,RAJENDRA NAGAR,GAGANPAHAD,GAGANPAHAD,GAGANPAHAD,1,1.0,0.0,22.0,2021,8,2021-08-01
RAJENDRA NAGAR,KANDUKUR,MAMIDIPALLY,MAHESHWARAM,IMAMGUDA,1,1.0,0.0,15.0,2021,8,2021-08-01
SANGAREDDY,SANGAREDDY,ISNAPUR,ISNAPUR,RUDRARAM,1,1.0,22.0,22.0,2021,8,2021-08-01
SAROORNAGAR,IBRAHIMPATNAM,TURKAYAMJAL,TURKAYAMZAL,NADELGUL,1,1.0,52.0,30.0,2021,8,2021-08-01
SAROORNAGAR,SAROORNAGAR,L B NAGAR,L.B.NAGAR,DHANAPUR,1,0.0,0.0,13.0,2021,8,2021-08-01
SAROORNAGAR,SAROORNAGAR,L B NAGAR,L.B.NAGAR,KRISHNA NAGAR-,1,1.0,94.0,7.0,2021,8,2021-08-01
SAROORNAGAR,SAROORNAGAR,HAYATHNAGAR,AUTONAGAR,MALLIKARJUNA NAGAR,1,0.0,0.0,10.0,2021,8,2021-08-01
SAROORNAGAR,SAROORNAGAR,HAYATHNAGAR,PEDDA AMBERPET,SAI COLONY,1,1.0,29.0,22.0,2021,8,2021-08-01
SAROORNAGAR,CHAMPAPET,CHAMPAPET,CHAMPAPET,CPT SOUTH,1,1.0,64.0,22.0,2021,8,2021-08-01
SAROORNAGAR,CHAMPAPET,VANASTHALIPURAM,BN REDDY NAGAR,HASTINAPURAM CENTR,1,1.0,0.0,22.0,2021,8,2021-08-01
SECUNDERABAD,SECUNDERABAD,LALBAZAR,BOLLARUM,GRC HIGH VALUE (GRP-M),1,1.0,2012.0,10.0,2021,8,2021-08-01
SECUNDERABAD,PARADISE,JAMES STREET,PARADISE,GRC HIGH VALUE,1,0.0,0.0,10.0,2021,8,2021-08-01
SURYAPET,HUZURNAGAR,KODAD,KODAD - RURAL,DORAKUNTA,1,0.0,0.0,18.0,2021,8,2021-08-01
SURYAPET,SURYAPET,SURYAPET,SURYAPET RURAL,PILLALAMARRY,1,0.0,0.0,18.0,2021,8,2021-08-01
SURYAPET,SURYAPET,SURYAPET,SURYAPET TOWN-I,LI A,1,0.0,0.0,15.0,2021,8,2021-08-01
SURYAPET,SURYAPET,SURYAPET,SURYAPET TOWN-II,LI 2,1,0.0,0.0,15.0,2021,8,2021-08-01
BANJARA HILLS,GREEN LANDS,GREENLANDS,BEGUMPET,GRC. SHYAMLAL,1,1.0,70.0,22.0,2021,9,2021-09-01
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,PRAGATHINAGAR-1,1,1.0,4.0,8.0,2021,9,2021-09-01
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,JUBILEE HILLS,GRC HIGH VALUES,1,1.0,10.0,15.0,2021,9,2021-09-01
BANJARA HILLS,BANJARA HILLS,JUBILEE HILLS,JUBILEE HILLS,HIGHVALUE,1,1.0,443.0,50.0,2021,9,2021-09-01
CYBERCITY,KONDAPUR,KONDAPUR,ALLAPUR,SOCIETY HV2,1,1.0,366.0,15.0,2021,9,2021-09-01
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,CHANDA NAGAR,MADINAGUDA HV,1,1.0,0.0,22.0,2021,9,2021-09-01
HABSIGUDA,KEESARA,GHATKESAR,GHATKESAR,GHATKESAR,1,1.0,20.0,30.0,2021,9,2021-09-01
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,A S RAO NAGAR,MOULA - ALI (HV),1,1.0,267.0,22.0,2021,9,2021-09-01
HABSIGUDA,HABSIGUDA,HABSIGUDA,NACHARAM,NACHARAM,1,1.0,7.0,15.0,2021,9,2021-09-01
HYDERABAD CENTRAL,SAIFABAD,SAIFABAD,SOMAJIGUDA,30-NO AREA,1,1.0,232.0,22.0,2021,9,2021-09-01
HYDERABAD CENTRAL,AZAMABAD,BARKATPURA,SHANKARMUTT,GRC HV SHANKARMUTT,1,1.0,50.0,15.0,2021,9,2021-09-01
HYDERABAD SOUTH,BEGUM BAZAR,BEGUM BAZAR,CHUDI BAZAR,GRCHV CHUDIBAZAR,1,1.0,134.0,22.0,2021,9,2021-09-01
MEDCHAL,MEDCHAL,QUTBULLAPUR,KOMPALLY,KOMPALLY HV,1,1.0,458.0,22.0,2021,9,2021-09-01
MEDCHAL,MEDCHAL,SHAMEERPET,SHAMEERPET,THUMUKUNTA,1,1.0,35.0,30.0,2021,9,2021-09-01
MEDCHAL,KUKATPALLY,MIYAPUR,BACHUPALLY,CT&HV,1,1.0,45.0,22.0,2021,9,2021-09-01
MEDCHAL,KUKATPALLY,MIYAPUR,HYDERNAGAR,HYDERNAGAR CT METERS,2,2.0,60.0,33.0,2021,9,2021-09-01
RAJENDRA NAGAR,KANDUKUR,MAMIDIPALLY,PAHADISHARIFF,SHAHEEN NAGAR II,1,1.0,0.0,15.0,2021,9,2021-09-01
RAJENDRA NAGAR,RAJENDRA NAGAR,GAGANPAHAD,GAGANPAHAD,GAGANPAHAD,1,1.0,0.0,22.0,2021,9,2021-09-01
RAJENDRA NAGAR,RAJENDRA NAGAR,GAGANPAHAD,MD PALLY,URRAM GADDA,1,0.0,0.0,5.0,2021,9,2021-09-01
RAJENDRA NAGAR,KANDUKUR,MAMIDIPALLY,MAHESHWARAM,IMAMGUDA,1,1.0,281.0,15.0,2021,9,2021-09-01
SANGAREDDY,SANGAREDDY,ISNAPUR,ISNAPUR,RUDRARAM,1,1.0,26.0,22.0,2021,9,2021-09-01
SAROORNAGAR,CHAMPAPET,CHAMPAPET,CHAMPAPET,CPT SOUTH,1,1.0,134.0,22.0,2021,9,2021-09-01
SAROORNAGAR,SAROORNAGAR,L B NAGAR,L.B.NAGAR,DHANAPUR,1,1.0,449.0,13.0,2021,9,2021-09-01
SAROORNAGAR,SAROORNAGAR,L B NAGAR,L.B.NAGAR,KRISHNA NAGAR-,1,1.0,136.0,7.0,2021,9,2021-09-01
SAROORNAGAR,SAROORNAGAR,HAYATHNAGAR,AUTONAGAR,MALLIKARJUNA NAGAR,1,1.0,1258.0,10.0,2021,9,2021-09-01
SAROORNAGAR,SAROORNAGAR,HAYATHNAGAR,PEDDA AMBERPET,SAI COLONY,1,1.0,44.0,22.0,2021,9,2021-09-01
SAROORNAGAR,CHAMPAPET,VANASTHALIPURAM,BN REDDY NAGAR,HASTINAPURAM CENTR,1,1.0,0.0,22.0,2021,9,2021-09-01
SAROORNAGAR,IBRAHIMPATNAM,TURKAYAMJAL,TURKAYAMZAL,NADELGUL,1,1.0,19.0,30.0,2021,9,2021-09-01
